"order","pick","active_team","hero_id","player_slot","extra_time","total_time_taken","match_id","leagueid"
21.0,False,3.0,34.0,"",7.0,5.0,8013650577,17233
22.0,False,2.0,272.0,"",7.0,1.0,8013650577,17233
23.0,True,2.0,20.0,2.0,123.0,3.0,8013650577,17233
24.0,True,3.0,144.0,7.0,123.0,13.0,8013650577,17233
1.0,False,2.0,26.0,"",104.0,0.0,8013664872,17199
2.0,False,3.0,240.0,"",104.0,0.0,8013664872,17199
3.0,False,3.0,158.0,"",104.0,0.0,8013664872,17199
4.0,False,3.0,198.0,"",104.0,0.0,8013664872,17199
5.0,False,3.0,200.0,"",104.0,0.0,8013664872,17199
6.0,False,3.0,138.0,"",104.0,0.0,8013664872,17199
7.0,False,3.0,148.0,"",104.0,0.0,8013664872,17199
8.0,False,3.0,196.0,"",104.0,0.0,8013664872,17199
9.0,False,3.0,274.0,"",104.0,0.0,8013664872,17199
10.0,False,3.0,258.0,"",104.0,0.0,8013664872,17199
11.0,True,3.0,102.0,3.0,104.0,0.0,8013664872,17199
12.0,True,3.0,96.0,0.0,104.0,0.0,8013664872,17199
13.0,True,3.0,22.0,5.0,104.0,0.0,8013664872,17199
14.0,True,3.0,238.0,9.0,54.0,51.0,8013664872,17199
15.0,True,3.0,110.0,6.0,65.0,36.0,8013664872,17199
16.0,True,2.0,76.0,4.0,65.0,18.0,8013664872,17199
17.0,True,2.0,52.0,1.0,47.0,30.0,8013664872,17199
18.0,True,3.0,180.0,8.0,30.0,47.0,8013664872,17199
19.0,False,3.0,78.0,"",65.0,4.0,8013664872,17199
20.0,False,2.0,116.0,"",50.0,45.0,8013664872,17199
21.0,False,2.0,272.0,"",30.0,4.0,8013664872,17199
22.0,False,3.0,34.0,"",30.0,16.0,8013664872,17199
23.0,True,3.0,168.0,7.0,50.0,56.0,8013664872,17199
24.0,True,2.0,14.0,2.0,50.0,19.0,8013664872,17199
1.0,False,3.0,100.0,"",130.0,32.0,8013671582,17233
2.0,False,2.0,76.0,"",130.0,11.0,8013671582,17233
3.0,False,2.0,20.0,"",118.0,2.0,8013671582,17233
4.0,False,3.0,238.0,"",130.0,8.0,8013671582,17233
5.0,False,2.0,22.0,"",130.0,2.0,8013671582,17233
6.0,False,2.0,96.0,"",118.0,1.0,8013671582,17233
7.0,False,3.0,110.0,"",118.0,8.0,8013671582,17233
8.0,True,3.0,10.0,9.0,130.0,25.0,8013671582,17233
9.0,True,2.0,40.0,4.0,118.0,55.0,8013671582,17233
10.0,False,3.0,220.0,"",118.0,12.0,8013671582,17233
11.0,False,3.0,102.0,"",106.0,6.0,8013671582,17233
12.0,False,2.0,160.0,"",106.0,4.0,8013671582,17233
13.0,True,2.0,28.0,0.0,118.0,17.0,8013671582,17233
14.0,True,3.0,276.0,6.0,118.0,5.0,8013671582,17233
15.0,True,3.0,92.0,7.0,106.0,20.0,8013671582,17233
16.0,True,2.0,188.0,1.0,71.0,65.0,8013671582,17233
17.0,True,2.0,32.0,3.0,118.0,8.0,8013671582,17233
18.0,True,3.0,198.0,5.0,118.0,9.0,8013671582,17233
19.0,False,3.0,274.0,"",71.0,11.0,8013671582,17233
20.0,False,2.0,256.0,"",71.0,21.0,8013671582,17233
21.0,False,2.0,182.0,"",118.0,3.0,8013671582,17233
22.0,False,3.0,50.0,"",118.0,2.0,8013671582,17233
23.0,True,3.0,138.0,8.0,71.0,54.0,8013671582,17233
24.0,True,2.0,148.0,2.0,62.0,40.0,8013671582,17233
1.0,False,3.0,224.0,"",130.0,5.0,8013673478,16313
2.0,False,3.0,172.0,"",130.0,6.0,8013673478,16313
3.0,False,3.0,116.0,"",130.0,2.0,8013673478,16313
4.0,False,2.0,74.0,"",130.0,4.0,8013673478,16313
5.0,False,3.0,142.0,"",130.0,13.0,8013673478,16313
6.0,False,3.0,98.0,"",130.0,2.0,8013673478,16313
7.0,False,2.0,274.0,"",130.0,10.0,8013673478,16313
8.0,True,2.0,168.0,1.0,130.0,30.0,8013673478,16313
9.0,True,3.0,46.0,9.0,130.0,16.0,8013673478,16313
10.0,False,2.0,228.0,"",130.0,19.0,8013673478,16313
11.0,False,2.0,108.0,"",130.0,1.0,8013673478,16313
12.0,False,3.0,22.0,"",130.0,15.0,8013673478,16313
13.0,True,3.0,130.0,6.0,130.0,21.0,8013673478,16313
14.0,True,2.0,100.0,3.0,130.0,5.0,8013673478,16313
15.0,True,2.0,194.0,2.0,130.0,5.0,8013673478,16313
16.0,True,3.0,216.0,8.0,112.0,48.0,8013673478,16313
17.0,True,3.0,92.0,7.0,130.0,15.0,8013673478,16313
18.0,True,2.0,44.0,0.0,114.0,46.0,8013673478,16313
19.0,False,2.0,152.0,"",112.0,14.0,8013673478,16313
20.0,False,3.0,126.0,"",108.0,34.0,8013673478,16313
21.0,False,3.0,84.0,"",114.0,1.0,8013673478,16313
22.0,False,2.0,104.0,"",114.0,3.0,8013673478,16313
23.0,True,2.0,96.0,4.0,108.0,16.0,8013673478,16313
24.0,True,3.0,34.0,5.0,105.0,34.0,8013673478,16313
1.0,False,3.0,220.0,"",130.0,2.0,8013674276,17233
2.0,False,3.0,224.0,"",130.0,7.0,8013674276,17233
3.0,False,3.0,240.0,"",130.0,2.0,8013674276,17233
4.0,False,2.0,38.0,"",130.0,1.0,8013674276,17233
5.0,False,3.0,76.0,"",130.0,2.0,8013674276,17233
6.0,False,3.0,54.0,"",130.0,2.0,8013674276,17233
7.0,False,2.0,44.0,"",130.0,2.0,8013674276,17233
8.0,True,2.0,214.0,0.0,130.0,2.0,8013674276,17233
9.0,True,3.0,42.0,6.0,130.0,1.0,8013674276,17233
10.0,False,2.0,102.0,"",130.0,3.0,8013674276,17233
11.0,False,2.0,238.0,"",130.0,2.0,8013674276,17233
12.0,False,3.0,176.0,"",130.0,1.0,8013674276,17233
13.0,True,3.0,272.0,8.0,130.0,3.0,8013674276,17233
